doc_rank	rank	affiliation	firstname	initials	lastname
36	8	Center for Immuno-Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.	Kristen	K	Felt
36	9	Center for Immuno-Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.	Evisa	E	Gjini
36	10	"Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.
Translational Immunogenomics Laboratory, Dana-Farber Cancer Institute, Boston, MA, USA."	Sachet A	SA	Shukla
36	11	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.	Zhuting	Z	Hu
36	12	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.	Letitia	L	Li
36	13	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.	Phuong M	PM	Le
36	14	"Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.
Department of Bio- and Health Informatics, Technical University of Denmark, Kongens Lyngby, Denmark."	Rosa L	RL	Allesøe
36	15	"Broad Institute of MIT and Harvard, Cambridge, MA, USA.
Harvard Medical School, Boston, MA, USA.
Department of Pathology, Massachusetts General Hospital, Boston, MA, USA.
Center for Cancer Research, Massachusetts General Hospital, Boston, MA, USA."	Alyssa R	AR	Richman
36	16	Broad Institute of MIT and Harvard, Cambridge, MA, USA.	Monika S	MS	Kowalczyk
36	17	Center for Immuno-Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.	Sara	S	Abdelrahman
36	18	Department of Oncologic Pathology, Dana-Farber Cancer Institute, Boston, MA, USA.	Jack E	JE	Geduldig
36	19	Department of Oncologic Pathology, Dana-Farber Cancer Institute, Boston, MA, USA.	Sarah	S	Charbonneau
36	20	Department of Oncologic Pathology, Dana-Farber Cancer Institute, Boston, MA, USA.	Kristine	K	Pelton
36	21	"Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.
Harvard Medical School, Boston, MA, USA.
Department of Pathology, Brigham and Women's Hospital, Boston, MA, USA."	J Bryan	JB	Iorgulescu
36	22	Broad Institute of MIT and Harvard, Cambridge, MA, USA.	Liudmila	L	Elagina
36	23	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.	Wandi	W	Zhang
36	24	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.	Oriol	O	Olive
36	25	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.	Christine	C	McCluskey
36	26	Department of Bio- and Health Informatics, Technical University of Denmark, Kongens Lyngby, Denmark.	Lars R	LR	Olsen
36	27	Department of Pathology, Brigham and Women's Hospital, Boston, MA, USA.	Jonathan	J	Stevens
36	28	"Harvard Medical School, Boston, MA, USA.
Department of Pathology, Brigham and Women's Hospital, Boston, MA, USA."	William J	WJ	Lane
36	29	Oncovir Inc, Washington, DC, USA.	Andres M	AM	Salazar
36	30	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.	Heather	H	Daley
36	31	"Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.
Harvard Medical School, Boston, MA, USA.
Department of Neurology, Brigham and Women's Hospital, Boston, MA, USA."	Patrick Y	PY	Wen
36	32	"Harvard Medical School, Boston, MA, USA.
Department of Neurosurgery, Brigham and Women's Hospital, Boston, MA, USA."	E Antonio	EA	Chiocca
36	33	Broad Institute of MIT and Harvard, Cambridge, MA, USA.	Maegan	M	Harden
36	34	Broad Institute of MIT and Harvard, Cambridge, MA, USA.	Niall J	NJ	Lennon
36	35	Broad Institute of MIT and Harvard, Cambridge, MA, USA.	Stacey	S	Gabriel
36	36	"Broad Institute of MIT and Harvard, Cambridge, MA, USA.
Harvard Medical School, Boston, MA, USA.
Center for Cancer Research, Massachusetts General Hospital, Boston, MA, USA."	Gad	G	Getz
36	37	Broad Institute of MIT and Harvard, Cambridge, MA, USA.	Eric S	ES	Lander
36	38	Broad Institute of MIT and Harvard, Cambridge, MA, USA.	Aviv	A	Regev
36	39	"Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.
Department of Medicine, Brigham and Women's Hospital, Boston, MA, USA.
Harvard Medical School, Boston, MA, USA."	Jerome	J	Ritz
36	40	Department of Biostatistics and Computational Biology, Dana-Farber Cancer Institute, Boston, MA, USA.	Donna	D	Neuberg
36	41	"Harvard Medical School, Boston, MA, USA.
Center for Immuno-Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.
Department of Pathology, Brigham and Women's Hospital, Boston, MA, USA."	Scott J	SJ	Rodig
36	42	"Broad Institute of MIT and Harvard, Cambridge, MA, USA.
Harvard Medical School, Boston, MA, USA.
Department of Oncologic Pathology, Dana-Farber Cancer Institute, Boston, MA, USA.
Department of Pathology, Brigham and Women's Hospital, Boston, MA, USA."	Keith L	KL	Ligon
36	43	"Broad Institute of MIT and Harvard, Cambridge, MA, USA.
Harvard Medical School, Boston, MA, USA.
Department of Pathology, Massachusetts General Hospital, Boston, MA, USA.
Center for Cancer Research, Massachusetts General Hospital, Boston, MA, USA."	Mario L	ML	Suvà
36	44	"Harvard Medical School, Boston, MA, USA.
Department of Cancer Immunology and Virology, Dana-Farber Cancer Institute, Boston, MA, USA."	Kai W	KW	Wucherpfennig
36	45	"Broad Institute of MIT and Harvard, Cambridge, MA, USA.
Harvard Medical School, Boston, MA, USA.
Center for Cancer Research, Massachusetts General Hospital, Boston, MA, USA."	Nir	N	Hacohen
36	46	"Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.
Broad Institute of MIT and Harvard, Cambridge, MA, USA.
Neon Therapeutics Inc, Cambridge, MA, USA."	Edward F	EF	Fritsch
36	47	"Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.
Translational Immunogenomics Laboratory, Dana-Farber Cancer Institute, Boston, MA, USA."	Kenneth J	KJ	Livak
36	48	"Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.
Department of Medicine, Brigham and Women's Hospital, Boston, MA, USA.
Harvard Medical School, Boston, MA, USA."	Patrick A	PA	Ott
36	49	"Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.
Department of Medicine, Brigham and Women's Hospital, Boston, MA, USA.
Broad Institute of MIT and Harvard, Cambridge, MA, USA.
Harvard Medical School, Boston, MA, USA."	Catherine J	CJ	Wu
36	50	"Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA. david_reardon@dfci.harvard.edu.
Department of Medicine, Brigham and Women's Hospital, Boston, MA, USA. david_reardon@dfci.harvard.edu.
Harvard Medical School, Boston, MA, USA. david_reardon@dfci.harvard.edu."	David A	DA	Reardon
37	0	Dana-Farber Cancer Institute, Boston, MA.	Patrick A	PA	Ott
37	1	Seoul National University College of Medicine, Seoul, The Republic of Korea.	Yung-Jue	YJ	Bang
37	2	University of Texas MD Anderson Cancer Center, Houston, TX.	Sarina A	SA	Piha-Paul
37	3	Princess Margaret Cancer Centre, Toronto, Ontario, Canada.	Albiruni R Abdul	ARA	Razak
37	4	Centre Hospitalier Universitaire Nantes, Nantes.	Jaafar	J	Bennouna
37	5	University Paris-Sud and Gustave Roussy, Villejuif, France.	Jean-Charles	JC	Soria
37	6	University of California San Francisco Helen Diller Family Comprehensive Cancer Center, San Francisco, CA.	Hope S	HS	Rugo
37	7	University of Pennsylvania, Philadelphia, PA.	Roger B	RB	Cohen
37	8	Indiana University, Bloomington, IN.	Bert H	BH	O'Neil
37	9	Rutgers Cancer Institute of New Jersey, New Brunswick, NJ.	Janice M	JM	Mehnert
37	10	Institute of Cancer Research, London, United Kingdom.	Juanita	J	Lopez
37	11	National Cancer Center Hospital East, Chiba, Japan.	Toshihiko	T	Doi
37	12	Netherlands Cancer Institute, Amsterdam, the Netherlands.	Emilie M J	EMJ	van Brummelen
37	13	Merck & Co., Inc., Kenilworth, NJ.	Razvan	R	Cristescu
37	14	Merck & Co., Inc., Kenilworth, NJ.	Ping	P	Yang
37	15	Merck & Co., Inc., Kenilworth, NJ.	Kenneth	K	Emancipator
37	16	Merck & Co., Inc., Kenilworth, NJ.	Karen	K	Stein
37	17	Merck & Co., Inc., Kenilworth, NJ.	Mark	M	Ayers
37	18	Merck & Co., Inc., Kenilworth, NJ.	Andrew K	AK	Joe
37	19	Merck & Co., Inc., Kenilworth, NJ.	Jared K	JK	Lunceford
38	0	Department of Drug Development, Gustave Roussy Cancer Campus, Villejuif, France. Electronic address: Andrea.VARGA@gustaveroussy.fr.	Andrea	A	Varga
38	1	Department of Investigational Cancer Therapeutics, The University of Texas MD Anderson Cancer Center, Houston, TX, USA.	Sarina	S	Piha-Paul
38	2	Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.	Patrick A	PA	Ott
38	3	Developmental Therapeutics/Phase I Program, Rutgers Cancer Institute of New Jersey, New Brunswick, NJ, USA.	Janice M	JM	Mehnert
38	4	Service de Cancérologie médicale, ICO Centre René Gauducheau, Saint-Herblain, France.	Dominique	D	Berton-Rigaud
38	5	Department of Oncology, Merck & Co., Inc., Kenilworth, NJ, USA.	Anne	A	Morosky
38	6	Biostatistics and Research Decision Sciences, MSD China, Beijing, China.	Ping	P	Yang
38	7	Department of Oncology, Merck & Co., Inc., Kenilworth, NJ, USA.	Jane	J	Ruman
38	8	Department of Obstetrics and Gynecology, Northwestern University Feinberg School of Medicine, Chicago, IL, USA.	Daniela	D	Matei
39	0	Department of Medical Oncology, Dana-Farber Cancer Institute, 450 Brookline Avenue, Dana 2127, Boston, MA, 02215, USA.	Romualdo	R	Barroso-Sousa
39	1	Department of Medical Oncology, Dana-Farber Cancer Institute, 450 Brookline Avenue, Dana 2127, Boston, MA, 02215, USA. patrick_ott@dfci.harvard.edu.	Patrick A	PA	Ott
40	0	MD Anderson Cancer Center, Houston, TX, USA.	Aung	A	Naing
40	1	Sarah Cannon Research Institute / Tennessee Oncology, PLLC, Nashville, TN, USA.	Jeffrey R	JR	Infante
40	2	START Center for Cancer Care, San Antonio, TX, USA.	Kyriakos P	KP	Papadopoulos
40	3	ARMO BioSciences, Eli Lilly and Company, Redwood City, CA, USA.	Ivan H	IH	Chan
40	4	Memorial Sloan Kettering Cancer Center, New York, NY, USA.	Cong	C	Shen
40	5	ARMO BioSciences, Eli Lilly and Company, Redwood City, CA, USA.	Navneet P	NP	Ratti
40	6	ARMO BioSciences, Eli Lilly and Company, Redwood City, CA, USA.	Bianca	B	Rojo
40	7	Memorial Sloan Kettering Cancer Center, New York, NY, USA.	Karen A	KA	Autio
40	8	University of California Los Angeles (UCLA), Los Angeles, CA, USA.	Deborah J	DJ	Wong
40	9	Sarah Cannon Research Institute/Florida Cancer Specialists, Sarasota, FL, USA.	Manish R	MR	Patel
40	10	Dana-Farber Cancer Institute, Boston, MA, USA.	Patrick A	PA	Ott
40	11	Sarah Cannon Research Institute at HealthONE, Denver, CO, USA.	Gerald S	GS	Falchook
40	12	Oklahoma University, Oklahoma City, OK, USA.	Shubham	S	Pant
40	13	ARMO BioSciences, Eli Lilly and Company, Redwood City, CA, USA.	Annie	A	Hung
40	14	ARMO BioSciences, Eli Lilly and Company, Redwood City, CA, USA.	Kara L	KL	Pekarek
40	15	ARMO BioSciences, Eli Lilly and Company, Redwood City, CA, USA.	Victoria	V	Wu
40	16	Memorial Sloan Kettering Cancer Center, New York, NY, USA.	Matthew	M	Adamow
40	17	ARMO BioSciences, Eli Lilly and Company, Redwood City, CA, USA.	Scott	S	McCauley
40	18	ARMO BioSciences, Eli Lilly and Company, Redwood City, CA, USA.	John B	JB	Mumm
40	19	Memorial Sloan Kettering Cancer Center, New York, NY, USA.	Phillip	P	Wong
40	20	ARMO BioSciences, Eli Lilly and Company, Redwood City, CA, USA.	Peter	P	Van Vlasselaer
40	21	ARMO BioSciences, Eli Lilly and Company, Redwood City, CA, USA.	Joseph	J	Leveque
40	22	MD Anderson Cancer Center, Houston, TX, USA.	Nizar M	NM	Tannir
40	23	ARMO BioSciences, Eli Lilly and Company, Redwood City, CA, USA. Electronic address: martinoft@gmail.com.	Martin	M	Oft
41	0	Broad Institute of MIT and Harvard, Cambridge, MA, USA.	Livnat	L	Jerby-Arnon
41	1	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.	Parin	P	Shah
41	2	Broad Institute of MIT and Harvard, Cambridge, MA, USA.	Michael S	MS	Cuoco
41	3	Broad Institute of MIT and Harvard, Cambridge, MA, USA.	Christopher	C	Rodman
41	4	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA; Center for Cancer Precision Medicine of Dana-Farber Cancer Institute, Boston, MA, USA.	Mei-Ju	MJ	Su
41	5	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.	Johannes C	JC	Melms
41	6	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA; Center for Cancer Precision Medicine of Dana-Farber Cancer Institute, Boston, MA, USA.	Rachel	R	Leeson
41	7	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA; Center for Cancer Precision Medicine of Dana-Farber Cancer Institute, Boston, MA, USA.	Abhay	A	Kanodia
41	8	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA; Laboratory for Systems Pharmacology, Harvard Medical School, Boston, MA, USA.	Shaolin	S	Mei
41	9	Laboratory for Systems Pharmacology, Harvard Medical School, Boston, MA, USA.	Jia-Ren	JR	Lin
41	10	Laboratory for Systems Pharmacology, Harvard Medical School, Boston, MA, USA.	Shu	S	Wang
41	11	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.	Bokang	B	Rabasha
41	12	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.	David	D	Liu
41	13	Molecular & Cellular Oncogenesis Program and Melanoma Research Center, The Wistar Institute, Philadelphia, PA, USA.	Gao	G	Zhang
41	14	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.	Claire	C	Margolais
41	15	Broad Institute of MIT and Harvard, Cambridge, MA, USA.	Orr	O	Ashenberg
41	16	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.	Patrick A	PA	Ott
41	17	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.	Elizabeth I	EI	Buchbinder
41	18	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.	Rizwan	R	Haq
41	19	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.	F Stephen	FS	Hodi
41	20	Massachusetts General Hospital Cancer Center, Boston, MA, USA.	Genevieve M	GM	Boland
41	21	Massachusetts General Hospital Cancer Center, Boston, MA, USA.	Ryan J	RJ	Sullivan
41	22	Massachusetts General Hospital Cancer Center, Boston, MA, USA.	Dennie T	DT	Frederick
41	23	Massachusetts General Hospital Cancer Center, Boston, MA, USA.	Benchun	B	Miao
41	24	Massachusetts General Hospital Cancer Center, Boston, MA, USA.	Tabea	T	Moll
41	25	Massachusetts General Hospital Cancer Center, Boston, MA, USA.	Keith T	KT	Flaherty
41	26	Molecular & Cellular Oncogenesis Program and Melanoma Research Center, The Wistar Institute, Philadelphia, PA, USA.	Meenhard	M	Herlyn
41	27	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA; Massachusetts General Hospital Cancer Center, Boston, MA, USA.	Russell W	RW	Jenkins
41	28	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.	Rohit	R	Thummalapalli
41	29	Broad Institute of MIT and Harvard, Cambridge, MA, USA; Celsius Therapeutics, Cambridge, MA, USA.	Monika S	MS	Kowalczyk
41	30	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.	Israel	I	Cañadas
41	31	Department of Dermatology, University Hospital Essen, West German Cancer Center, University Duisburg-Essen and the German Cancer Consortium, Essen, Germany; Department of Dermatology, Venereology and Allergology, University Hospital Würzburg, Würzburg, Germany.	Bastian	B	Schilling
41	32	Center for Immunology and Virology, Dana-Farber Cancer Institute, Boston, MA, USA.	Adam N R	ANR	Cartwright
41	33	Center for Immunology and Virology, Dana-Farber Cancer Institute, Boston, MA, USA.	Adrienne M	AM	Luoma
41	34	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.	Shruti	S	Malu
41	35	Department of Melanoma Medical Oncology, The University of Texas MD Anderson Cancer Center, Houston, TX, USA.	Patrick	P	Hwu
41	36	Department of Melanoma Medical Oncology, The University of Texas MD Anderson Cancer Center, Houston, TX, USA.	Chantale	C	Bernatchez
41	37	Department of Melanoma Medical Oncology, The University of Texas MD Anderson Cancer Center, Houston, TX, USA.	Marie-Andrée	MA	Forget
41	38	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.	David A	DA	Barbie
41	39	Broad Institute of MIT and Harvard, Cambridge, MA, USA.	Alex K	AK	Shalek
41	40	Broad Institute of MIT and Harvard, Cambridge, MA, USA.	Itay	I	Tirosh
41	41	Laboratory for Systems Pharmacology, Harvard Medical School, Boston, MA, USA.	Peter K	PK	Sorger
41	42	Center for Immunology and Virology, Dana-Farber Cancer Institute, Boston, MA, USA.	Kai	K	Wucherpfennig
41	43	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.	Eliezer M	EM	Van Allen
41	44	Department of Dermatology, University Hospital Essen, West German Cancer Center, University Duisburg-Essen and the German Cancer Consortium, Essen, Germany.	Dirk	D	Schadendorf
41	45	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA; Center for Cancer Precision Medicine of Dana-Farber Cancer Institute, Boston, MA, USA.	Bruce E	BE	Johnson
41	46	Broad Institute of MIT and Harvard, Cambridge, MA, USA; Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA; Center for Cancer Precision Medicine of Dana-Farber Cancer Institute, Boston, MA, USA.	Asaf	A	Rotem
41	47	Broad Institute of MIT and Harvard, Cambridge, MA, USA.	Orit	O	Rozenblatt-Rosen
41	48	Broad Institute of MIT and Harvard, Cambridge, MA, USA; Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA; Center for Cancer Precision Medicine of Dana-Farber Cancer Institute, Boston, MA, USA; Ludwig Center for Cancer Research at Harvard, Boston, MA, USA; Howard Hughes Medical Institute, Chevy Chase, MD, USA.	Levi A	LA	Garraway
41	49	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA; Brigham and Women's Hospital, Department of Surgical Oncology, Boston, MA, USA.	Charles H	CH	Yoon
41	50	Broad Institute of MIT and Harvard, Cambridge, MA, USA; Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA; Center for Cancer Precision Medicine of Dana-Farber Cancer Institute, Boston, MA, USA; Laboratory for Systems Pharmacology, Harvard Medical School, Boston, MA, USA; Center for Immunology and Virology, Dana-Farber Cancer Institute, Boston, MA, USA; Ludwig Center for Cancer Research at Harvard, Boston, MA, USA. Electronic address: benjamin_izar@dfci.harvard.edu.	Benjamin	B	Izar
41	51	Broad Institute of MIT and Harvard, Cambridge, MA, USA; Howard Hughes Medical Institute, Chevy Chase, MD, USA; Ludwig Center for Cancer Research at MIT, Boston, MA, USA; Massachusetts Institute of Technology, Department of Biology, Cambridge, MA, USA.	Aviv	A	Regev
42	0	Department of Dermatology, Brigham and Women's Hospital, Harvard Medical School, Boston, Massachusetts.	Frederick C	FC	Morgan
42	1	Department of Dermatology, Brigham and Women's Hospital, Harvard Medical School, Boston, Massachusetts.	Juanita	J	Duran
42	2	Value and Population Health Management, Dana-Farber Cancer Institute, Boston, Massachusetts.	Belen	B	Fraile
42	3	Department of Dermatology, Brigham and Women's Hospital, Harvard Medical School, Boston, Massachusetts.	Pritesh S	PS	Karia
42	4	Department of Dermatology, Brigham and Women's Hospital, Harvard Medical School, Boston, Massachusetts; Melanoma Disease Center, Dana-Farber Cancer Institute, Brigham and Women's Hospital, Harvard Medical School, Boston, Massachusetts.	Jennifer Y	JY	Lin
42	5	Melanoma Disease Center, Dana-Farber Cancer Institute, Brigham and Women's Hospital, Harvard Medical School, Boston, Massachusetts.	Patrick A	PA	Ott
42	6	Department of Dermatology, Brigham and Women's Hospital, Harvard Medical School, Boston, Massachusetts.	Emily Stamell	ES	Ruiz
42	7	Department of Dermatology, Brigham and Women's Hospital, Harvard Medical School, Boston, Massachusetts.	David M	DM	Wang
42	8	Value and Population Health Management, Dana-Farber Cancer Institute, Boston, Massachusetts.	Yichen	Y	Zhang
42	9	Department of Dermatology, Brigham and Women's Hospital, Harvard Medical School, Boston, Massachusetts. Electronic address: cschmults@bwh.harvard.edu.	Chrysalyne D	CD	Schmults
43	0	Merck & Co., Kenilworth, NJ 07033, USA. razvan_cristescu@merck.com.	Razvan	R	Cristescu
43	1	Merck & Co., Kenilworth, NJ 07033, USA.	Robin	R	Mogg
43	2	Merck & Co., Kenilworth, NJ 07033, USA.	Mark	M	Ayers
43	3	Merck & Co., Kenilworth, NJ 07033, USA.	Andrew	A	Albright
43	4	Merck & Co., Kenilworth, NJ 07033, USA.	Erin	E	Murphy
43	5	Merck & Co., Kenilworth, NJ 07033, USA.	Jennifer	J	Yearley
43	6	Merck & Co., Kenilworth, NJ 07033, USA.	Xinwei	X	Sher
43	7	Merck & Co., Kenilworth, NJ 07033, USA.	Xiao Qiao	XQ	Liu
43	8	Merck & Co., Kenilworth, NJ 07033, USA.	Hongchao	H	Lu
43	9	Merck & Co., Kenilworth, NJ 07033, USA.	Michael	M	Nebozhyn
43	10	Merck & Co., Kenilworth, NJ 07033, USA.	Chunsheng	C	Zhang
43	11	Merck & Co., Kenilworth, NJ 07033, USA.	Jared K	JK	Lunceford
43	12	Merck & Co., Kenilworth, NJ 07033, USA.	Andrew	A	Joe
43	13	Merck & Co., Kenilworth, NJ 07033, USA.	Jonathan	J	Cheng
43	14	Merck & Co., Kenilworth, NJ 07033, USA.	Andrea L	AL	Webber
43	15	Merck & Co., Kenilworth, NJ 07033, USA.	Nageatte	N	Ibrahim
43	16	Fox Chase Cancer Center, Philadelphia, PA 19111, USA.	Elizabeth R	ER	Plimack
43	17	Dana-Farber Cancer Institute, Boston, MA 02215, USA.	Patrick A	PA	Ott
43	18	University of Chicago, Chicago, IL 60637, USA.	Tanguy Y	TY	Seiwert
43	19	University of California, Los Angeles, Los Angeles, CA 90095, USA.	Antoni	A	Ribas
43	20	Merck & Co., Kenilworth, NJ 07033, USA.	Terrill K	TK	McClanahan
43	21	Merck & Co., Kenilworth, NJ 07033, USA.	Joanne E	JE	Tomassini
43	22	Merck & Co., Kenilworth, NJ 07033, USA.	Andrey	A	Loboda
43	23	Merck & Co., Kenilworth, NJ 07033, USA.	David	D	Kaufman
44	0	Brigham and Women's Hospital and Dana-Farber/Harvard Cancer Center, Boston, Massachusetts; Harvard Radiation Oncology Program, Massachusetts General Hospital, Boston, Massachusetts. Electronic address: lrpike@partners.org.	Luke R G	LRG	Pike
44	1	Brigham and Women's Hospital and Dana-Farber/Harvard Cancer Center, Boston, Massachusetts; Department of Radiation Oncology, Princess Margaret Cancer Centre, Toronto, Ontario, Canada.	Andrew	A	Bang
44	2	Brigham and Women's Hospital and Dana-Farber/Harvard Cancer Center, Boston, Massachusetts; Harvard Radiation Oncology Program, Massachusetts General Hospital, Boston, Massachusetts.	Brandon A	BA	Mahal
44	3	Brigham and Women's Hospital and Dana-Farber/Harvard Cancer Center, Boston, Massachusetts.	Allison	A	Taylor
44	4	Brigham and Women's Hospital and Dana-Farber/Harvard Cancer Center, Boston, Massachusetts.	Monica	M	Krishnan
44	5	Brigham and Women's Hospital and Dana-Farber/Harvard Cancer Center, Boston, Massachusetts.	Alexander	A	Spektor
44	6	Brigham and Women's Hospital and Dana-Farber/Harvard Cancer Center, Boston, Massachusetts.	Daniel N	DN	Cagney
44	7	Brigham and Women's Hospital and Dana-Farber/Harvard Cancer Center, Boston, Massachusetts.	Ayal A	AA	Aizer
44	8	Brigham and Women's Hospital and Dana-Farber/Harvard Cancer Center, Boston, Massachusetts.	Brian M	BM	Alexander
44	9	Brigham and Women's Hospital and Dana-Farber/Harvard Cancer Center, Boston, Massachusetts.	Osama	O	Rahma
44	10	Brigham and Women's Hospital and Dana-Farber/Harvard Cancer Center, Boston, Massachusetts.	Tracy	T	Balboni
44	11	Brigham and Women's Hospital and Dana-Farber/Harvard Cancer Center, Boston, Massachusetts.	Patrick A	PA	Ott
44	12	Brigham and Women's Hospital and Dana-Farber/Harvard Cancer Center, Boston, Massachusetts.	F Stephen	FS	Hodi
44	13	Brigham and Women's Hospital and Dana-Farber/Harvard Cancer Center, Boston, Massachusetts.	Jonathan D	JD	Schoenfeld
45	0	Department of Medicine, Medical University of South Carolina, Charleston, South Carolina.	Shalin	S	Shah
45	1	Department of Medicine, University of Chicago, Chicago, Illinois.	Jason J	JJ	Luke
45	2	"Department of Radiology, Brigham and Women's Hospital.
Department of Biostatics and Computational Biology, Dana-Farber Cancer Institute, Boston, Massachusetts, USA."	Heather A	HA	Jacene
45	3	"Department of Radiology, Brigham and Women's Hospital.
Department of Biostatics and Computational Biology, Dana-Farber Cancer Institute, Boston, Massachusetts, USA."	Tianqi	T	Chen
45	4	"Department of Radiology, Brigham and Women's Hospital.
Department of Biostatics and Computational Biology, Dana-Farber Cancer Institute, Boston, Massachusetts, USA."	Anita	A	Giobbie-Hurder
45	5	Department of Medicine, Dana-Farber Cancer Institute.	Nageatte	N	Ibrahim
45	6	Department of Medicine, Beth Israel Deaconess Medical Center.	Elizabeth L	EL	Buchbinder
45	7	Department of Medicine, Beth Israel Deaconess Medical Center.	David F	DF	McDermott
45	8	Department of Medicine, Massachusetts General Hospital Cancer Center.	Keith T	KT	Flaherty
45	9	Department of Medicine, Massachusetts General Hospital Cancer Center.	Ryan J	RJ	Sullivan
45	10	Department of Medicine, Massachusetts General Hospital Cancer Center.	Donald P	DP	Lawrence
45	11	Department of Medicine, Dana-Farber Cancer Institute.	Patrick A	PA	Ott
45	12	Department of Medicine, Dana-Farber Cancer Institute.	F Stephen	FS	Hodi
46	0	"Harvard Medical School, Boston, MA, USA.
Department of Dermatology, University of California Irvine, School of Medicine, Irvine, CA, USA."	Allison S	AS	Dobry
46	1	"Center for Surgery and Public Health, Brigham and Women's Hospital, Boston, MA, USA.
Yale School of Medicine, New Haven, CT, USA."	Cheryl K	CK	Zogg
46	2	"Harvard Medical School, Boston, MA, USA.
Melanoma Center and Center for Immuno-Oncology, Dana-Farber Cancer Center, Boston, MA, USA.
Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA."	F Stephen	FS	Hodi
46	3	"Harvard Medical School, Boston, MA, USA.
Department of Neurosurgery, Brigham and Women's Hospital, Computational Neuroscience Outcomes Center, Boston, MA, USA."	Timothy R	TR	Smith
46	4	"Harvard Medical School, Boston, MA, USA.
Melanoma Center and Center for Immuno-Oncology, Dana-Farber Cancer Center, Boston, MA, USA.
Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA."	Patrick A	PA	Ott
46	5	"Harvard Medical School, Boston, MA, USA. jiorgulescu@bwh.harvard.edu.
Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA, USA. jiorgulescu@bwh.harvard.edu.
Department of Neurosurgery, Brigham and Women's Hospital, Computational Neuroscience Outcomes Center, Boston, MA, USA. jiorgulescu@bwh.harvard.edu.
Department of Pathology, Brigham and Women's Hospital, Dana-Farber Cancer Institute, Harvard Medical School, 75 Francis St., Boston, MA, 02115, USA. jiorgulescu@bwh.harvard.edu."	J Bryan	JB	Iorgulescu
47	0	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA.	Zhuting	Z	Hu
47	1	"Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA.
Harvard Medical School, Boston, MA."	Annabelle J	AJ	Anandappa
47	2	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA.	Jing	J	Sun
